店铺名称,页面id,类别,品牌名称,品牌id,品牌logo,评分,平均价格,最低价格,所属地区,地区Id,纬度,经度,详细地址,楼层,地铁站id,停车信息,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜,是否小吃,有无外卖,上周订单数,历史订单数,wifi,支持预定
五味缘厂外香小郡肝串串香,907268368,串串香,,0,,4.9,64,88,滨海大道东段,5314,20.047696,110.191916,秀英区远大购物广场7-1-117（远大售楼中心口向南50米路东）,1,,,88代100元;,周一至周日 11:00-02:00,18078976551,55449,,,False,0,3,55449,False,False
华莱士·全鸡汉堡(秀华店),41566117,西式快餐/汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,4.4,26,6.9,西站,5314,20.00745,110.285763,秀英区秀华路40号1楼（中国银行旁）,,,,6.9元黑椒鸡块，9.9元鸡肉卷，10元4串骨肉相连，11.9元鸡块小薯鸡米花，12.2元半只脆皮鸡+中可，12.9元时尚简约，12.9元辣翅鸡米花鸡块，13元香辣鸡腿堡，14元牛肉堡骨肉相连餐，26.9元双人套餐，32.9元六一双人餐，50元鸡肉卷紫薯饼套餐，53.9元欢聚四人套餐;,周一至周日 09:00-02:00,0898-68645667,55115,,,False,1,163,55115,False,False
满福隆酒楼,1178472,海南菜,,0,,4,47,28,宜欣广场,5312,20.027653,110.312289,龙华区滨海大道91号,,,免费提供380个停车位,单人餐28元，双人餐78元，4人餐168元，6人餐288元;79代100元;,周一至周日 07:00-01:00,0898-68528888/0898-68526688,54843,"满福隆酒楼位于海口市金融贸易区（滨海大道91号）凭海而立，面向芳草如茵的""万绿园""和如诗如画的海口核心滨海区，环境优雅，交通便利。酒楼占地面积20亩，营业面积9000平方米，可供380个停车位，38个贵宾厅房，多个金碧辉煌的大型宴会厅（可同时容纳1500人用餐）均由香港名师设计，该酒楼由餐饮资深人士管理，香港名厨主理，主营。潮，粤菜，燕鲍翅，生猛海鲜，粤式早茶，夜宵。满福隆酒楼乘承“情亲关怀，无微不至”的经营理念，热情为各界嘉宾服务，是团体会议，商务接待，宴请宾朋，喜庆宴席的理想去处，到满福隆酒楼，将体验宾至如归之温馨感受。",,False,1,87,54843,True,False
薇薇安千层蛋糕(府城店),156661529,面包蛋糕,,0,,4.7,25,16.9,忠介路,5315,20.00065,110.35555,琼山区忠介路2号步行街（肯德基正对面）,,,,16.9元千层蛋糕切件，75元蛋糕3选1，122.9元蛋糕8选1;29.9代38元;,周一至周日 09:00-22:30,0898-65863602,54609,,,False,1,142,54609,False,False
炙盈炭火自助烤肉餐厅(京华城店),179080914,自助烧烤,,0,,4.3,64,63.5,京华城,5312,20.027557,110.317505,龙华区玉沙路21号京华城C区3楼,3,,,单人午餐63.5元，单人午/晚餐67.5元，[4]人午餐245.8元，[4]人晚餐261.8元;,周一至周日 11:00-21:30,0898-66216767,54115,,,False,0,192,54115,False,False
陇璟烧肉酒场(日月广场店),116099815,日式烧烤/烤肉,,0,,4.9,82,25,国兴大道,5315,20.014758,110.350288,琼山区五指山南路日月广场东区双鱼座三楼,3,,,双人餐188元，3-4人餐368元;25代50元，89代100元;,周一至周日 11:30-14:00 17:00-21:30,0898-32889113,53713,,,False,0,238,53713,False,False
百度烤鱼(坡博店),2402669,烤鱼,百度烤鱼,826369,,5,44,69,坡博村,5312,20.003347,110.33655,龙华区坡博路1号虹冠大厦109铺（天府川香美食林楼下）,,,,3-4人餐69元，2-3人餐88.8元，双人餐98.8元，3-4人餐138元，6人餐198元;90代100元;,周一至周日 11:00-14:00 17:00-22:00,0898-32688339,53646,百度烤鱼地处龙华区坡博路虹冠大厦首层，交通便利，店内环境整洁，适合三五好友聚会。百度烤鱼**的特色是**秘制的烤鱼汤底，色香味俱全，肉质鲜嫩，结合火锅的吃法，让鱼的鲜嫩发挥到淋漓尽致,,False,1,78,53646,True,False
华莱士·全鸡汉堡(青年路店),1998538,西式快餐/汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,3.6,23,6.9,白龙路沿线,5313,20.0373,110.3611,美兰区青年路2-1号（海口市第三十四小学旁）,,,,6.9元黑椒鸡块，9.9元鸡肉卷，10元4串骨肉相连，11.9元鸡块小薯鸡米花，12.2元半只脆皮鸡+中可，12.9元时尚简约，12.9元辣翅鸡米花鸡块，13元香辣鸡腿堡，14元牛肉堡骨肉相连餐，26.9元双人套餐，32.9元六一双人餐，50元鸡肉卷紫薯饼套餐，53.9元欢聚四人套餐;,周一至周日 09:00-23:00,0898-65358747,52910,华莱士炸鸡汉堡创建品牌以来，先后在闽、沪、苏、浙、赣、粤、津等全国23个省96个市级以上城市开设连锁餐厅。经营的汉堡、炸鸡、薯条等产品，美味与实惠兼具，时尚与文化领先，深得广大消费者的青睐。简明舒适的就餐环境，品质的保证，享受得到的西式快餐,,False,1,87,52910,False,False
联记茶餐厅(兴丹路店),84829604,茶餐厅,,0,,4.7,19,6,兴丹路,5315,20.009778,110.366169,琼山区兴丹路14号省农科院（农业科技服务一条街2号楼第一层第41号房）,,,免费提供3个停车位,单人餐6元起，9.8元单人特色抱罗粉，52.8元双人正餐套餐;,周一至周日 07:00-23:30,0898-65811661/18189801881,52196,,,False,1,161,52196,True,False
三顾冒菜(国兴店),4088767,冒菜,三顾冒菜,110795,http://p1.meituan.net/poi/1d9a370dfd58340bff66330ddab1b2d340293.png,4.2,34,29,国兴大润发,5313,20.014086,110.371589,琼山区国兴大道省图书馆后街文坛路右进玖居酒店一楼,,,,29代33元，45代50元;,周一至周日 11:00-14:00 17:30-21:30,0898-65356390,51929,冒菜不是菜，而是一种传统的烹饪工艺。“大锅、沸汤”的烹饪特点让三顾冒菜在营养锁定方面独具优势。具体做法是，将自选生鲜食材置于大锅沸汤中“冒”熟，而后用秘制纯油和老火靓汤调制出麻辣、微辣、三鲜等不同口味，满足大众美食需求，是都市一族热捧的时尚餐饮模式。三顾冒菜源自三顾茅庐的历史典故，传承悠久，精品正宗。三顾冒菜致力于打造中国冒菜品牌。 采用自主选菜、去水称重、透明厨房的经营方式，将《消费者权益保护法》规定的自主选择权、公平交易权、消费知情权等原原本本地奉还给顾客。看得见、选得着、吃得香是三顾冒菜的真实体验。亲，来吧，来一次就能喜欢上！,,False,1,1,51929,True,False
玛格利塔(海垦路店),6455350,披萨,玛格丽塔,1351163,http://p0.meituan.net/poi/0e925ec4a5330a532b2417bfb265b92036387.png,4.2,17,10.9,金牛岭公园周边,5312,20.005224,110.306641,龙华区海垦路283号（天唱KTV旁）,,,免费提供5个停车位,10.9元原味蛋挞，16.9元休闲小吃套餐，19.9元鸡肉披萨套餐B，19.9元美团单人套餐A，23.9元现烤比萨套餐，29.9元普通装现烤披萨;,周一至周日 08:00-24:00,0898-68917067,51921,,,False,1,23,51921,True,False
赖胖子肉蟹煲(日月广场店),117491888,肉蟹煲,赖胖子肉蟹煲,2885366,,4.2,54,90,国兴大道,5315,20.015813,110.350325,琼山区国兴大道8号日月广场5-301（金牛座三楼）,3,,,双人餐128元，4人餐168元，6人餐228元;90代100元;,周一至周日 11:00-21:30,0898-32889320,51487,,,False,1,655,51487,True,False
豪约客牛排(万利城店),79223866,中西餐厅,,0,,4.6,50,65,人民公园,5312,20.02939,110.341981,美兰区海口海秀东路18号万利城商场3楼A区,3,,,单人餐65元，双人餐128元，4人餐239元，6人餐369元，8人餐489元;142.5代150元;,周一至周日 09:00-22:00,0898-32695858,51240,,,False,1,124,51240,True,False
华莱士·全鸡汉堡(财政NO13店),95509,西式快餐/汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,3.5,13,8.9,忠介路,5315,19.998337,110.361229,琼山区高登东街91号（避风苑对面）,,,免费提供5个停车位,8.9元鸡米花，12.9元单人套餐1，12.9元单人套餐2，13.9元小吃套餐2，13.9元小吃套餐1，19元单人餐，22元薯条，22.9元双人套餐，28.9元双人餐，32元双人餐，33.9元豪华炸鸡桶，40.8元双堡炸鸡桶;,周一至周日 09:00-02:30,0898-65850003,51184,仅6.4折，即享华莱士炸鸡汉堡单人套餐,,False,1,55,51184,True,False
成都大龙燚火锅(国贸店),105514349,四川火锅,,0,,4.6,91,85,金龙路,5312,20.025168,110.320655,龙华区国贸大道与玉沙路十字路口富国商业广场2层,2,,,双人餐128元，3-4人餐199元;85代100元;,周一至周日 16:00-01:00,0898-65388777,49780,,,False,1,57,49780,False,False
茶相汇茶人屯,2374308,粤式茶点,避风阁茶人屯,1044533,,4,48,20.8,金龙路,5312,20.024,110.32082,龙华区玉沙路16号富豪大厦c座2楼201室,,,,20.8元烤鸭套餐饭，25.8元茶人屯简餐，28.8元茶人屯单人简餐[国贸店]，68元棋牌室精品4人餐，双人餐98元，3-4人餐148元;88代100元;,周一至周日 07:00-24:00,0898-68528633/68500097,49654,避风阁茶人屯在海南的餐饮行业中已树立起了属于自己的餐饮独特的品牌，并拥有了一定规模和固定的老顾客，在阳光明媚下的避风阁这几个大字非常的夺目，让您无法无视的存在。这里是您休闲、娱乐、聚餐的好场所。店内每时每刻都洋溢着一种安逸而温暖的气息，在下午的时候，很多附近写字楼的人员都喜欢忙里偷闲，来这里轻叹一杯炭烧咖啡，或者约上一些生意伙伴，在分享小点心香甜的同时，拟下一份严谨的协议,,False,1,38,49654,True,False
玛格利塔(大园路店),4013168,披萨,玛格丽塔,1351163,http://p0.meituan.net/poi/0e925ec4a5330a532b2417bfb265b92036387.png,4.1,18,10.9,大园路,5315,19.988177,110.350795,琼山区大园路20号（丁村路口处）,,,免费提供5个停车位,10.9元原味蛋挞，16.9元休闲小吃套餐，19.9元鸡肉披萨套餐B，19.9元美团单人套餐A，23.9元现烤比萨套餐，29.9元普通装现烤披萨;,周一至周日 09:00-01:00,0898-65727916,49371,,,False,1,39,49371,True,False
京尚道韩式美食屋,50007027,韩国菜,,0,,4.6,15,15.8,海甸岛,5313,20.050386,110.336539,美兰区海甸三西路市政花园12号商铺（海门大学南门斜对面）,,,,9.8折（买单立享）;单人餐15.8元起;,周一至周日 11:00-21:30,17784640206,47873,,,False,1,182,47873,True,False
探鱼(名门店),66371250,烤鱼,探鱼,1723817,http://p0.meituan.net/poi/bfcdf2bcdccdfc3a524af91bc3d69b7a57975.png,4.8,79,88,名门广场,5313,20.023392,110.352038,美兰区蓝天路名门广场五楼,5,,,双人餐129元，3人餐176元;88代100元，92代100元;,周一至周日 11:00-21:30,0898-65330003,47355,,,False,1,150,47355,True,False
探鱼(日月广场店),117021927,烤鱼,探鱼,1723817,http://p0.meituan.net/poi/bfcdf2bcdccdfc3a524af91bc3d69b7a57975.png,5,81,88,国兴大道,5315,20.015502,110.348439,琼山区国兴大道8号海航日月广场C01-5#-302号铺面（金牛座3楼）,3,,,双人餐129元，3人餐176元;88代100元，92代100元;,周一至周日 11:00-22:00,0898-66700828,47131,,,False,1,164,47131,False,False
华莱士·全鸡汉堡(海师店),4125189,西式快餐/汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,3.9,21,6.9,红城湖,5315,19.998392,110.345521,琼山区板桥路40号铺（海师大厦正对面）,,,,6.9元黑椒鸡块，9.9元鸡肉卷，10元4串骨肉相连，11.9元鸡块小薯鸡米花，12.2元半只脆皮鸡+中可，12.9元时尚简约，12.9元辣翅鸡米花鸡块，13元香辣鸡腿堡，14元牛肉堡骨肉相连餐，26.9元双人套餐，32.9元六一双人餐，50元鸡肉卷紫薯饼套餐，53.9元欢聚四人套餐;,周一至周日 09:00-24:00,0898-65892120/15298948020,47067,华莱士炸鸡汉堡创建品牌以来，先后在闽、沪、苏、浙、赣、粤、津等全国23个省96个市级以上城市开设连锁餐厅。经营的汉堡、炸鸡、薯条等产品，美味与实惠兼具，时尚与文化领先，深得广大消费者的青睐。简明舒适的就餐环境，品质的保证，享受得到的西式快餐,,False,1,77,47067,False,False
朋派烤肉欢乐自助餐厅(友谊阳光城店),161104083,综合自助,,0,,4.9,75,69,金龙路,5312,20.023466,110.323867,龙华区金龙路2号友谊阳光城6A层021号,6A,,,单人晚餐69元起;,周一至周日 11:00-14:00 17:00-21:00,0898-66760830,47045,,,False,0,255,47045,False,False
琳琅LIN LANG(解放店),18854,面包蛋糕,琳琅烘焙专业,27334,,4.3,10,0,人民公园,5312,20.04076,110.34358,龙华区解放东路41号,,,商家服务：停车位收费标准：与商家具体商谈,每满10减1.2（买单立享）;,周一至周日 11:00-23:00,0898-66219429,46895,琳琅烘焙专业是一家有名的西点品牌店，发展到现在已经有30余家连锁店。多年来不断引进新思想、开发新思路、完善管理模式，逐渐形成了的“前店后场，现烤现卖”的特色。,,False,1,0,46895,False,False
百度烤鱼(秀华店),40928482,烤鱼,百度烤鱼,826369,,3.7,40,58,秀英时代广场,5314,20.00745,110.28364,秀英区秀华路54号（市十四中学斜对面）,,,,双人餐58元，3-4人餐88元，3人餐98元起，4-6人餐168元，4-6人餐168元;79代100元;,周一至周日 10:00-22:30,0898-32267818/36353229,46877,百度烤鱼地处龙华区坡博路虹冠大厦首层，交通便利，店内环境整洁，适合三五好友聚会。百度烤鱼**的特色是**秘制的烤鱼汤底，色香味俱全，肉质鲜嫩，结合火锅的吃法，让鱼的鲜嫩发挥到淋漓尽致,,False,1,122,46877,True,False
顺拾蒸·海鲜蒸汽料理(京华城店),67056817,海鲜,,0,,4.2,88,93.9,京华城,5312,20.02733,110.31724,龙华区金贸街道国贸三横路玉沙京华城C区三楼,3,,,93.9代100元;,周一至周日 09:30-14:00 17:00-21:00,0898-68583222/13907596026,46801,,,False,0,23,46801,True,False
周记鸭脖(上邦店),1180738,熟食熏酱,,0,,4.2,12,8.9,金龙路,5312,20.021524,110.324008,龙华区龙华路上邦百汇城拾味馆后面食味小巷里,1,,,17.9元19.5元套餐，23.9元鸭脖鸭肠套餐，25.8元26元套餐;8.9代10元;,周一至周日 10:00-22:30,18689732883/13215882993,46614,,,False,1,15,46614,True,False
印象三宝潮汕鲜牛肉火锅炭烤肉,97076395,潮汕牛肉火锅,,0,,3.6,54,79.9,解放西/泰龙城,5312,20.037595,110.337431,龙华区解放西路友谊广场6楼,5,,,每满100减20.01（买单立享）;双人餐99元起，3-4人餐198元，6人餐368元，8人餐498元，9-10人餐599元;79.9代100元;,周一至周日 11:00-14:00 17:30-21:30,0898-66206366,46591,,,False,1,92,46591,True,False
希尔顿味·全日海鲜自助餐厅(国贸店),90875095,自助海鲜,,0,,3.3,237,158,金龙路,5312,20.023528,110.306042,龙华区滨海大道109-9号海口希尔顿酒店33层,33,,,单人午餐158元，单人午餐168元，单人晚餐200元，单人晚餐268元;,周一至周日 06:30-22:00,0898-36798005/15692510999,46005,,,False,0,145,46005,True,False
猪哥牛姐(吾悦店),114275052,韩式烤肉,,0,,4.9,58,30,吾悦广场,5312,19.977782,110.339746,龙华区椰海大道新城吾悦广场3楼,3,,,双人餐139元起，3-4人餐209元，4-5人餐259元，4-5人餐269元;30代50元;,周一至周日 11:00-22:00,0898-65812706,45305,,,False,0,175,45305,True,False
拾味馆·浓鲜骨汤·海南菜(望海店),1361754,海南菜,拾味馆,28696,http://p1.meituan.net/poi/79d6a9d3470f3076b19f9bc6dd8d1ffa11693.png,4.2,59,95,望海国际广场,5313,20.030543,110.344944,美兰区海秀路8号望海国际广场六层1号铺面,6,,免费停车,满100减5（买单立享）;2-3人餐198元;95代100元;,周一至周日 11:00-14:00 17:00-21:00,0898-66789995,45284,拾味馆主打拾味砂锅骨汤，以引领饮食风尚，强调对幸福的品味与体验为特色，拒绝提供一成不变的菜肴与菜单，提供可口美食，贴心服务、价格实惠，时尚化的家庭式餐饮，深受大众喜爱。,,False,1,25,45284,True,False
围炉海鲜烤肉自助(日月广场店),179941699,综合自助,,0,,4.4,72,61.9,国兴大道,5315,20.016228,110.350785,琼山区日月广场东①摩羯座3楼,,,,单人晚餐61.9元，单人午餐61.9元，单人晚餐65.9元，单人午餐71.9元，单人晚餐71.9元，单人晚餐75.9元;,周一至周日 11:00-21:00,0898-65307090,45052,,,False,0,455,45052,False,False
华莱士·全鸡汉堡(南海大道NO.5店),95501,西式快餐/汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,3.5,15,8.9,金盘,5312,19.996568,110.313878,龙华区南海大道82号京江广场一区商铺126号,,,免费提供5个停车位,8.9元鸡米花，12.9元单人套餐1，12.9元单人套餐2，13.9元小吃套餐2，13.9元小吃套餐1，19元单人餐，22元薯条，22.9元双人套餐，28.9元双人餐，32元双人餐，33.9元豪华炸鸡桶，40.8元双堡炸鸡桶;,周一至周日 09:00-00:30,0898-66809809,44384,仅6.4折，即享华莱士炸鸡汉堡单人套餐,,False,1,104,44384,True,False
华莱士·全鸡汉堡(华海餐厅NO15),4994559,西式快餐/汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,3.7,14,8.9,华海路,5312,20.02282,110.32514,龙华区龙华路53号（华海路路口家乐福后门斜对面）,,,免费提供5个停车位,8.9元鸡米花，12.9元单人套餐1，12.9元单人套餐2，13.9元小吃套餐2，13.9元小吃套餐1，19元单人餐，22元薯条，22.9元双人套餐，28.9元双人餐，32元双人餐，33.9元豪华炸鸡桶，40.8元双堡炸鸡桶;,周一至周日 09:00-00:30,0898-66758365,44136,,,False,1,48,44136,True,False
忆轩阁,42022356,中西餐厅,,0,,4.1,27,12.8,解放西/泰龙城,5312,20.03836,110.338305,龙华区解放西路23号个体大世界3楼,,,,9.5折（买单立享）;12.8元单人下午茶，15.8元单人下午茶，26元招牌套餐，88元4人包厢;88代100元;,周一至周日 10:00-24:00,0898-66234218,43776,,,False,0,206,43776,True,False
三顾冒菜(五指山路店),6118854,冒菜,三顾冒菜,110795,http://p1.meituan.net/poi/1d9a370dfd58340bff66330ddab1b2d340293.png,4.4,39,29,蓝天路沿线,5313,20.031944,110.346223,美兰区五指山路5号松涛大厦一楼（松涛宾馆旁）,,,,29代33元，45代50元;,周一至周日 11:00-14:00 17:30-21:30,0898-66733413,42468,冒菜不是菜，而是一种传统的烹饪工艺。“大锅、沸汤”的烹饪特点让三顾冒菜在营养锁定方面独具优势。具体做法是，将自选生鲜食材置于大锅沸汤中“冒”熟，而后用秘制纯油和老火靓汤调制出麻辣、微辣、三鲜等不同口味，满足大众美食需求，是都市一族热捧的时尚餐饮模式。三顾冒菜源自三顾茅庐的历史典故，传承悠久，精品正宗。三顾冒菜致力于打造中国冒菜品牌。 采用自主选菜、去水称重、透明厨房的经营方式，将《消费者权益保护法》规定的自主选择权、公平交易权、消费知情权等原原本本地奉还给顾客。看得见、选得着、吃得香是三顾冒菜的真实体验。亲，来吧，来一次就能喜欢上！,,False,1,1,42468,True,False
华莱士(五指山路店),1998399,西式快餐/汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,3.7,22,6.9,望海国际广场,5313,20.028758,110.349871,美兰区五指山路14号,,,,6.9元黑椒鸡块，9.9元鸡肉卷，10元4串骨肉相连，11.9元鸡块小薯鸡米花，12.2元半只脆皮鸡+中可，12.9元时尚简约，12.9元辣翅鸡米花鸡块，13元香辣鸡腿堡，14元牛肉堡骨肉相连餐，26.9元双人套餐，32.9元六一双人餐，50元鸡肉卷紫薯饼套餐，53.9元欢聚四人套餐;,周一至周日 09:00-24:00,0898-65384182,42249,华莱士炸鸡汉堡创建品牌以来，先后在闽、沪、苏、浙、赣、粤、津等全国23个省96个市级以上城市开设连锁餐厅。经营的汉堡、炸鸡、薯条等产品，美味与实惠兼具，时尚与文化领先，深得广大消费者的青睐。简明舒适的就餐环境，品质的保证，享受得到的西式快餐,,False,1,48,42249,False,False
华莱士(新华南店),6626998,西式快餐/汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,3.6,23,6.9,人民公园,5312,20.040179,110.343358,龙华区新华南路52号多宝利商业广场斜对面,,,,6.9元黑椒鸡块，9.9元鸡肉卷，10元4串骨肉相连，11.9元鸡块小薯鸡米花，12.2元半只脆皮鸡+中可，12.9元时尚简约，12.9元辣翅鸡米花鸡块，13元香辣鸡腿堡，14元牛肉堡骨肉相连餐，26.9元双人套餐，32.9元六一双人餐，50元鸡肉卷紫薯饼套餐，53.9元欢聚四人套餐;,周一至周日 09:30-01:30,0898-66218421,41549,华莱士炸鸡汉堡创建品牌以来，先后在闽、沪、苏、浙、赣、粤、津等全国23个省96个市级以上城市开设连锁餐厅。经营的汉堡、炸鸡、薯条等产品，美味与实惠兼具，时尚与文化领先，深得广大消费者的青睐。简明舒适的就餐环境，品质的保证，享受得到的西式快餐,,False,1,92,41549,False,False
匠子烤鱼(望海店),52191709,烤鱼,匠子烤鱼,2699714,http://p0.meituan.net/poi/a60aaeb6e15861760710694484fa4a9a55005.png,4.1,63,99,明珠广场,5313,20.030768,110.344945,美兰区海秀东路望海国际六楼（拾味馆旁）,6,,,99代110元;,周一至周日 11:00-14:00 17:00-21:30,0898-66778599/13700470235,41258,,,False,1,152,41258,False,False
华莱士·全鸡汉堡(龙华NO.1店),95497,西式快餐/汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,3.7,14,8.9,万国大都会,5312,20.03066,110.33337,龙华区龙华路50号汇丰商厦一层第A013号,1,,免费提供5个停车位,8.9元鸡米花，12.9元单人套餐1，12.9元单人套餐2，13.9元小吃套餐2，13.9元小吃套餐1，19元单人餐，22元薯条，22.9元双人套餐，28.9元双人餐，32元双人餐，33.9元豪华炸鸡桶，40.8元双堡炸鸡桶;,周一至周日 09:00-02:00,0898-66787819,40726,仅6.4折，即享华莱士炸鸡汉堡单人套餐,,False,1,45,40726,True,False
华莱士·全鸡汉堡(龙昆南店),4751182,西式快餐/汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,3.9,21,6.9,红城湖,5315,20.004473,110.340279,琼山区龙昆南路金竹园小区71号,,,,6.9元黑椒鸡块，9.9元鸡肉卷，10元4串骨肉相连，11.9元鸡块小薯鸡米花，12.2元半只脆皮鸡+中可，12.9元时尚简约，12.9元辣翅鸡米花鸡块，13元香辣鸡腿堡，14元牛肉堡骨肉相连餐，26.9元双人套餐，32.9元六一双人餐，50元鸡肉卷紫薯饼套餐，53.9元欢聚四人套餐;,周一至周日 09:00-24:00,0898-65782217/13078947451,40697,华莱士炸鸡汉堡创建品牌以来，先后在闽、沪、苏、浙、赣、粤、津等全国23个省96个市级以上城市开设连锁餐厅。经营的汉堡、炸鸡、薯条等产品，美味与实惠兼具，时尚与文化领先，深得广大消费者的青睐。简明舒适的就餐环境，品质的保证，享受得到的西式快餐,,False,1,55,40697,True,False
华莱士·全鸡汉堡(国兴店),5657189,西式快餐/汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,3.6,26,6.9,海南工商学院周边,5315,20.0133,110.37278,琼山区文坛路体育运动场西区坐台首层A1商铺,,,,6.9元黑椒鸡块，9.9元鸡肉卷，10元4串骨肉相连，11.9元鸡块小薯鸡米花，12.2元半只脆皮鸡+中可，12.9元时尚简约，12.9元辣翅鸡米花鸡块，13元香辣鸡腿堡，14元牛肉堡骨肉相连餐，26.9元双人套餐，32.9元六一双人餐，50元鸡肉卷紫薯饼套餐，53.9元欢聚四人套餐;,周一至周日 09:00-24:00,0898-65370004,40669,华莱士炸鸡汉堡创建品牌以来，先后在闽、沪、苏、浙、赣、粤、津等全国23个省96个市级以上城市开设连锁餐厅。经营的汉堡、炸鸡、薯条等产品，美味与实惠兼具，时尚与文化领先，深得广大消费者的青睐。简明舒适的就餐环境，品质的保证，享受得到的西式快餐,,False,1,91,40669,False,False
德庄火锅(日月广场店),111574494,重庆火锅,,0,,4.6,61,9.9,国兴大道,5315,20.015069,110.346413,琼山区国兴大道16号日月广场天蝎座4楼,4,,,单人餐9.9元，双人餐139元，3-4人餐258元，6-8人餐368元;90代100元;,周一至周日 11:00-21:30,0898-65800445,40092,,,False,0,216,40092,True,False
蛙蛙时代(桫椤湾店),150011643,特色火锅,,0,,4.8,38,29.9,国兴大润发,5313,20.019989,110.375394,美兰区美苑路桫椤湾2栋2楼,,,,双人餐79元，2-3人餐99元，3-4人餐118元，3-4人餐128元，2-3人餐128元;29.9代50元，90代100元;,周一至周日 09:30-15:00 17:00-23:00,0898-65311663,39987,,,False,1,303,39987,True,False
一口牛果木炭火烤肉(友谊阳光城店),161104417,日式烧烤/烤肉,,0,,5,75,88,新友谊阳光城,5312,20.027241,110.323313,龙华区金龙路2号友谊阳光城6A层（10号电梯旁）,6A,,,双人餐158元起，4人餐318元，6人餐438元;88代100元;,周一至周日 11:00-21:30,0898-68513149,39666,,,False,1,278,39666,False,False
赖胖子肉蟹煲(友谊阳光城店),161884677,肉蟹煲,赖胖子肉蟹煲,2885366,,4.2,54,90,新友谊阳光城,5312,20.023826,110.324253,龙华区金龙路友谊阳光城8楼,8,,,双人餐128元，4人餐168元，6人餐228元;90代100元;,"周一至周五 10:00-21:00  周六,周日 10:00-21:30",0898-68525025,39596,,,False,1,435,39596,False,False
拾味馆·浓鲜骨汤·海南菜(上邦店),4453096,海南菜,拾味馆,28696,http://p1.meituan.net/poi/79d6a9d3470f3076b19f9bc6dd8d1ffa11693.png,4,57,69,金龙路,5312,20.021659,110.323025,龙华区上邦百汇城2号楼1层,1,,,满100减5（买单立享）;2-3人餐198元;69代100元，95代100元;,周一至周日 11:00-14:30 17:00-21:30,4006615100/0898-66772225,38744,拾味馆主打拾味砂锅骨汤，以引领饮食风尚，强调对幸福的品味与体验为特色，拒绝提供一成不变的菜肴与菜单，提供可口美食，贴心服务、价格实惠，时尚化的家庭式餐饮，深受大众喜爱。,,False,1,77,38744,True,False
华莱士(五公祠店),5429689,西式快餐/汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,3.6,14,8.9,红城湖,5315,20.006126,110.357537,琼山区府城街道办红城湖路115号,,,免费提供5个停车位,8.9元鸡米花，19元单人餐，22元薯条，22.9元双人套餐，32元双人餐，33.9元豪华炸鸡桶，40.8元双堡炸鸡桶;,周一至周日 09:00-02:00,0898-65856359,38654,,,False,0,3,38654,True,False
华莱士·全鸡汉堡(南沙一店),5338133,西式快餐/汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,4.2,11,6.9,南沙路,5312,20.01063,110.331855,龙华区湖南省办事处38号,,,,6.9元黑椒鸡块，9.9元鸡肉卷，10元4串骨肉相连，11.9元鸡块小薯鸡米花，12.2元半只脆皮鸡+中可，12.9元时尚简约，12.9元辣翅鸡米花鸡块，13元香辣鸡腿堡，14元牛肉堡骨肉相连餐，26.9元双人套餐，32.9元六一双人餐，50元鸡肉卷紫薯饼套餐，53.9元欢聚四人套餐;,周一至周日 09:30-01:30,0898-66774794,38599,华莱士炸鸡汉堡创建品牌以来，先后在闽、沪、苏、浙、赣、粤、津等全国23个省96个市级以上城市开设连锁餐厅。经营的汉堡、炸鸡、薯条等产品，美味与实惠兼具，时尚与文化领先，深得广大消费者的青睐。简明舒适的就餐环境，品质的保证，享受得到的西式快餐,,False,1,68,38599,False,False
咱外婆家的菜(友谊阳光城店),163146375,融合菜,,0,,5,50,92.9,新友谊阳光城,5312,20.023773,110.324185,龙华区金龙路2号（友谊阳光城7A楼）,7A,,,92.9代100元;,周一至周日 10:00-14:00 17:00-22:00,0898-65358613,38416,,,False,1,169,38416,False,False
